year month day hour temperature nebulosity load estimate
1999 1 1 0 7.6 6.3 48797 47596.6
1999 1 1 1 7.4 6.3 47398 45408.1
1999 1 1 2 7.2 6.1 47298 45023.8
1999 1 1 3 6.9 6 44547.5 42551.7
1999 1 1 4 6.7 5.8 41821 40191.8
1999 1 1 5 6.4 5.9 40109.5 38905.3
1999 1 1 6 6.2 6 39013.5 38445.9
1999 1 1 7 5.9 6.1 38595 38740.8
1999 1 1 8 6 6.1 38536 40055.7
1999 1 1 9 6.2 6 38394.5 41344.9
1999 1 1 10 6.3 6 39792.5 42701.5
1999 1 1 11 7.6 5.6 41305.5 43095.6
1999 1 1 12 9 5.2 42579.5 43455.5
1999 1 1 13 10.3 4.8 43801.5 43808.6
1999 1 1 14 10.3 4.8 40988 41330.9
1999 1 1 15 10.4 4.9 38874 39154.7
1999 1 1 16 10.4 4.9 38083.5 38239.9
1999 1 1 17 9.5 4.7 40245.5 39729
1999 1 1 18 8.6 4.6 44710 43586.9
1999 1 1 19 7.7 4.4 46541.5 45369.3
1999 1 1 20 7.4 5 46583.5 45353.5
1999 1 1 21 7.1 5.5 45685 44600.2
1999 1 1 22 6.8 6.1 45461 44448.3
1999 1 1 23 6.7 6.2 47240 45948.7
1999 1 2 0 6.6 6.3 46250 45708.1
1999 1 2 1 6.5 6.4 44195 43635.7
1999 1 2 2 6.6 6.6 44109 43454.3
1999 1 2 3 6.6 6.7 41852 41206.4
1999 1 2 4 6.7 6.9 40143.5 39434
1999 1 2 5 6.8 7 39727.5 39123
1999 1 2 6 6.9 7.2 40164.5 39599.5
1999 1 2 7 7 7.3 41408.5 40870.8
1999 1 2 8 7.1 7.2 43086.5 42797.4
1999 1 2 9 7.2 7 44511 44655
1999 1 2 10 7.3 6.9 46963 46663.8
1999 1 2 11 8.1 6.8 47687.5 47322.7
1999 1 2 12 8.8 6.7 48698 48328.2
1999 1 2 13 9.6 6.6 49603 49102.9
1999 1 2 14 9.6 6.5 47615 47202.7
1999 1 2 15 9.5 6.3 45453.5 45279.1
1999 1 2 16 9.5 6.2 44427.5 44281.3
1999 1 2 17 9 6.3 46286.5 46040.3
1999 1 2 18 8.6 6.4 50358 49803.1
1999 1 2 19 8.1 6.5 51447 50866.2
1999 1 2 20 7.8 6.1 50209 49695.7
1999 1 2 21 7.5 5.8 48458.5 47845.1
1999 1 2 22 7.2 5.4 47848.5 47044.1
1999 1 2 23 7.1 5.4 49616 48493.2
1999 1 3 0 7 5.4 48170 46308.2
1999 1 3 1 6.9 5.4 46010.5 44102.7
1999 1 3 2 6.8 5.5 45850.5 43828.5
1999 1 3 3 6.8 5.5 43275.5 41368.6
1999 1 3 4 6.7 5.6 41078 39366.1
1999 1 3 5 6.8 5.8 39988.5 38420.2
1999 1 3 6 6.8 5.9 39662 38152.8
1999 1 3 7 6.9 6.1 39913 38280.2
1999 1 3 8 7.3 6.1 40785 39464.7
1999 1 3 9 7.8 6.2 42137.5 41202.9
1999 1 3 10 8.2 6.2 44899 43301.7
1999 1 3 11 9.1 6.2 46754 44546.6
1999 1 3 12 10.1 6.3 47677.5 45461.4
1999 1 3 13 11 6.3 48209.5 45936.5
1999 1 3 14 10.9 6.1 45558 43361.9
1999 1 3 15 10.7 6 43212.5 41207.8
1999 1 3 16 10.6 5.8 41965 40147.2
1999 1 3 17 10.1 6 43567.5 41744.4
1999 1 3 18 9.7 6.1 48677.5 46036.6
1999 1 3 19 9.2 6.3 50883 48343.7
1999 1 3 20 9.1 6.4 50332 48314.2
1999 1 3 21 9.1 6.6 48447 47064.1
1999 1 3 22 9 6.7 46906.5 45970.2
1999 1 3 23 8.9 6.7 47809.5 46996.8
1999 1 4 0 8.9 6.7 46449.5 46670.5
1999 1 4 1 8.8 6.7 44862 44810.4
1999 1 4 2 9.1 6.6 45308 44752.3
1999 1 4 3 9.3 6.6 43129.5 42560.8
1999 1 4 4 9.6 6.5 41401.5 41007.8
1999 1 4 5 9.7 6.4 41922 42044.1
1999 1 4 6 9.8 6.3 45211 45864.9
1999 1 4 7 9.9 6.2 51770 52593.6
1999 1 4 8 10.2 6.2 56245.5 57073.9
1999 1 4 9 10.5 6.2 56225 56914.4
1999 1 4 10 10.8 6.2 56064.5 56567
1999 1 4 11 11.8 6.2 56116.5 56418.2
1999 1 4 12 12.7 6.1 55882 56028.6
1999 1 4 13 13.7 6.1 56188.5 56048.9
1999 1 4 14 13.8 6.3 55474 55507
1999 1 4 15 14 6.4 53588.5 53746.1
1999 1 4 16 14.1 6.6 52926.5 53135.3
1999 1 4 17 13.4 6.4 54376 54586.4
1999 1 4 18 12.8 6.3 57698.5 58041.5
1999 1 4 19 12.1 6.1 58564.5 58345.1
1999 1 4 20 11.7 5.8 55850 55941.6
1999 1 4 21 11.4 5.5 52293.5 52630.6
1999 1 4 22 11 5.2 49916 50214.8
1999 1 4 23 10.7 5 50603.5 51002.6
1999 1 5 0 10.4 4.7 49132 49761.2
1999 1 5 1 10.1 4.5 47086 47577.5
1999 1 5 2 9.7 4.2 47205 47649
1999 1 5 3 9.3 4 45052 45518.5
1999 1 5 4 8.9 3.7 43479 44068.9
1999 1 5 5 8.6 3.8 44119 44678
1999 1 5 6 8.3 3.9 47303.5 48017
1999 1 5 7 8 4 53883 54633.8
1999 1 5 8 8.3 4.3 58522 58934.2
1999 1 5 9 8.7 4.6 57692 58363.3
1999 1 5 10 9 4.9 56785.5 57846.3
1999 1 5 11 10.7 4.7 56075.5 57140.1
1999 1 5 12 12.3 4.6 55237.5 56157.2
1999 1 5 13 14 4.4 54821.5 55497
1999 1 5 14 14.2 4 53623.5 54540
1999 1 5 15 14.5 3.6 51815 52509.2
1999 1 5 16 14.7 3.2 50989 51487.6
1999 1 5 17 13.3 2.9 52464 53004.8
1999 1 5 18 12 2.5 57359.5 57089.6
1999 1 5 19 10.6 2.2 58780 58221.9
1999 1 5 20 10.2 2 56134 55921.1
1999 1 5 21 9.8 1.7 52873 52809.7
1999 1 5 22 9.4 1.5 50786.5 50769.2
1999 1 5 23 8.8 1.5 51699 51845.6
1999 1 6 0 8.3 1.4 50175 50455.7
1999 1 6 1 7.7 1.4 48088 48374.2
1999 1 6 2 7.4 1.5 48070.5 48352.1
1999 1 6 3 7 1.5 45813.5 46252.1
1999 1 6 4 6.7 1.6 44322.5 44788.5
1999 1 6 5 6.4 1.5 45012.5 45451
1999 1 6 6 6.2 1.5 48166.5 48733.5
1999 1 6 7 5.9 1.4 54269.5 55331.3
1999 1 6 8 6.3 1.4 58550 59603.9
1999 1 6 9 6.8 1.5 58940.5 58902.5
1999 1 6 10 7.2 1.5 58465 58076
1999 1 6 11 9.1 1.5 57734 57163.7
1999 1 6 12 11 1.5 56613.5 55965.7
1999 1 6 13 12.9 1.5 56029 55295.7
1999 1 6 14 13.2 1.5 54783 54252.8
1999 1 6 15 13.5 1.5 52874.5 52263.8
1999 1 6 16 13.8 1.5 51984 51282.8
1999 1 6 17 12.5 1.6 53522.5 52787.1
1999 1 6 18 11.3 1.7 58695 57135.4
1999 1 6 19 10 1.8 60157.5 58460.2
1999 1 6 20 9.7 1.8 57454.5 56133.8
1999 1 6 21 9.4 1.7 54194.5 53009
1999 1 6 22 9.1 1.7 51713.5 50955.2
1999 1 6 23 8.9 2 52478 51821
1999 1 7 0 8.8 2.3 51184.5 50184.5
1999 1 7 1 8.6 2.6 48991 47926.3
1999 1 7 2 8.4 3.1 49225.5 47893.7
1999 1 7 3 8.2 3.7 46852 45701.1
1999 1 7 4 8 4.2 45221.5 44186.2
1999 1 7 5 7.8 4.4 45698 44761.8
1999 1 7 6 7.6 4.7 48707.5 48031.2
1999 1 7 7 7.4 4.9 55221 54576
1999 1 7 8 7.6 5.1 59512 58999.6
1999 1 7 9 7.9 5.2 59063.5 58603.1
1999 1 7 10 8.1 5.4 58840 58213.2
1999 1 7 11 9 5.3 58631 58078.4
1999 1 7 12 10 5.1 57861 57430
1999 1 7 13 10.9 5 57491 57175.3
1999 1 7 14 10.9 5.4 56929.5 56591.1
1999 1 7 15 11 5.9 55413.5 55010.6
1999 1 7 16 11 6.3 54933.5 54430
1999 1 7 17 10.4 6.2 56492.5 55755.4
1999 1 7 18 9.8 6.2 60193.5 59593.9
1999 1 7 19 9.2 6.1 61018.5 59943.6
1999 1 7 20 9 6.3 57981.5 57307.1
1999 1 7 21 8.8 6.6 54487 53960.3
1999 1 7 22 8.6 6.8 52094.5 51617.2
1999 1 7 23 8.5 6.8 52794 52280.5
1999 1 8 0 8.4 6.7 51230.5 50614.3
1999 1 8 1 8.3 6.7 49284 48315.1
1999 1 8 2 8.1 6.6 49182 48283.3
1999 1 8 3 7.9 6.5 46891 46063.1
1999 1 8 4 7.7 6.4 45334 44515
1999 1 8 5 7.5 6.2 45939 45061.6
1999 1 8 6 7.3 5.9 48914 48297.3
1999 1 8 7 7.1 5.7 55360 54813.7
1999 1 8 8 7.2 5.9 59781 59308.8
1999 1 8 9 7.2 6.1 59181 59180.8
1999 1 8 10 7.3 6.3 58871 58949.6
1999 1 8 11 8 6.5 58838 59090.6
1999 1 8 12 8.7 6.7 58279 58768.2
1999 1 8 13 9.4 6.9 58320 58650.6
1999 1 8 14 9.3 6.8 57368 58091.5
1999 1 8 15 9.2 6.8 55816 56511.7
1999 1 8 16 9.1 6.7 54978 55827.5
1999 1 8 17 8.6 6.4 55997.5 57028.2
1999 1 8 18 8 6.1 59971.5 60889
1999 1 8 19 7.5 5.8 60586 61152.3
1999 1 8 20 7.3 5.5 57567 58380.2
1999 1 8 21 7.2 5.2 54638 54921.3
1999 1 8 22 7 4.9 53023 52627.2
1999 1 8 23 6.7 4.9 54136 53486.2
1999 1 9 0 6.5 5 52740.5 51288.1
1999 1 9 1 6.2 5 49954.5 48922.6
1999 1 9 2 5.9 5 49430 48627.4
1999 1 9 3 5.6 4.9 46745 46054
1999 1 9 4 5.3 4.9 44574 44021.3
1999 1 9 5 5.1 5 43921 43373.1
1999 1 9 6 4.8 5.2 44567.5 44175.4
1999 1 9 7 4.6 5.3 46726.5 46538.7
1999 1 9 8 4.7 5.2 49844 49561.2
1999 1 9 9 4.8 5.1 51341 51390.1
1999 1 9 10 4.9 5 52016.5 52108.5
1999 1 9 11 5.7 5.2 51942.5 52136.9
1999 1 9 12 6.5 5.4 52232.5 52444.6
1999 1 9 13 7.3 5.6 52724 52861.4
1999 1 9 14 7.1 5.6 50800.5 51001.6
1999 1 9 15 7 5.5 48569 48965.7
1999 1 9 16 6.8 5.5 47682.5 48084.8
1999 1 9 17 5.9 5.2 49426.5 49555.2
1999 1 9 18 5 5 54158.5 54197.9
1999 1 9 19 4.1 4.7 55619 55655.6
1999 1 9 20 3.8 4.6 54130.5 54142.8
1999 1 9 21 3.6 4.4 52004 51741.4
1999 1 9 22 3.3 4.3 51359.5 50728.1
1999 1 9 23 3.1 4.6 53369.5 52430
1999 1 10 0 2.9 4.8 52214.5 51218.7
1999 1 10 1 2.7 5.1 50363 49125.5
1999 1 10 2 2.5 5.2 50096 48917.8
1999 1 10 3 2.3 5.4 47678 46473.2
1999 1 10 4 2.1 5.5 45338 44253.3
1999 1 10 5 1.9 5.4 44196.5 43231.4
1999 1 10 6 1.6 5.2 43759 43064.1
1999 1 10 7 1.4 5.1 44123 43628.4
1999 1 10 8 1.4 5.4 45730 45353
1999 1 10 9 1.4 5.8 48066.5 48085.7
1999 1 10 10 1.4 6.1 51158 50399.2
1999 1 10 11 1.8 6.2 53115 51992.3
1999 1 10 12 2.2 6.2 54444 53039.4
1999 1 10 13 2.6 6.3 55057.5 53574
1999 1 10 14 2.7 6.4 52259 51010.2
1999 1 10 15 2.7 6.5 49796.5 48903.1
1999 1 10 16 2.8 6.6 48827 47948.7
1999 1 10 17 2.6 6.5 50416 49326.9
1999 1 10 18 2.3 6.4 54964.5 54031.9
1999 1 10 19 2.1 6.3 57215.5 55722.3
1999 1 10 20 1.8 6.4 56883.5 55636.8
1999 1 10 21 1.5 6.6 55332 54302.1
1999 1 10 22 1.2 6.7 53982.5 52982.9
1999 1 10 23 1.1 6.8 55437.5 54119.7
1999 1 11 0 1.1 6.9 54171 52503.7
1999 1 11 1 1 7 52654 50878.3
1999 1 11 2 0.9 6.9 53127.5 51370.6
1999 1 11 3 0.8 6.8 51133 49440.1
1999 1 11 4 0.7 6.7 49717.5 48069.4
1999 1 11 5 0.6 6.7 50805 49180.7
